AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR
9,31,970,0,3,0,17,44,834,1,0,38
7,70,1763,0,22,2,17,23,905,1,0,157
12,46,1836,0,16,14,7,47,1451,3,0,205
19,16,1064,0,0,0,21,5,505,0,0,99
34,115,6221,1,39,5,32,134,1972,5,0,559
7,51,2141,0,9,0,8,73,1445,3,0,232
14,38,5862,0,7,2,40,117,1805,6,0,656
11,20,578,0,0,0,14,65,406,0,0,113
2,197,4770,0,25,1,16,262,3543,2,0,278
11,127,5444,0,10,1,29,192,1681,0,0,799
5,35,622,0,0,0,17,65,359,2,0,118
12,7,1683,0,0,0,25,72,1276,4,0,94
21,83,8623,0,25,2,14,199,4241,0,0,837
18,43,856,0,0,0,14,23,644,0,0,93
6,19,867,0,0,0,11,18,755,0,0,66
8,13,1352,0,0,0,21,76,1138,2,0,154
4,1,121,0,0,0,9,2,161,0,0,27
5,16,2032,0,1,0,6,41,543,0,0,106
9,102,2964,0,1,3,14,202,1288,2,0,527
11,35,5444,2,0,1,20,94,2327,8,0,520
9,107,2648,0,3,0,20,58,1859,0,0,168
10,30,594,1,2,0,13,46,343,0,0,67
4,1,175,0,0,0,24,11,214,3,0,32
3,18,413,0,0,0,12,23,264,3,0,60
12,393,8434,1,32,0,96,370,4853,9,0,1388
30,125,6866,1,9,3,92,177,4671,27,0,725
34,163,12693,3,20,2,78,284,7227,2,0,1143
12,19,1250,0,0,0,24,18,1183,1,0,46
4,19,343,0,0,0,3,42,300,0,0,68
3,5,171,0,0,0,4,8,169,0,0,11
4,30,462,0,0,0,10,39,239,0,0,42
7,6,1848,0,5,0,16,33,1780,3,0,88
6,48,1204,0,2,2,9,25,905,5,0,99
6,79,1444,0,0,0,11,34,1681,1,0,198
11,30,1183,0,0,7,24,45,714,0,0,278
8,199,2803,0,17,4,10,128,791,0,0,341
11,0,434,0,0,0,18,18,627,0,0,26
24,54,5910,2,0,0,25,180,2507,0,0,573
5,51,949,0,0,0,14,38,508,0,0,105
8,11,289,0,4,0,11,7,286,0,0,38
19,27,1702,0,1,1,24,13,1313,2,0,156
0,17,1487,0,0,0,12,13,819,0,0,89
6,58,1275,0,2,0,21,103,1157,0,0,298
6,1,306,1,0,1,19,11,557,0,0,9
1769,2486,103380,44,538,26,2690,2259,23767,232,0,16284
0,5,378,0,0,0,4,11,582,0,0,22
5,42,4328,0,88,1,16,173,1866,0,0,267
35,797,44980,1,24,10,99,528,9008,25,0,9233
62,134,4476,3,5,2,93,188,1965,3,0,505
2,35,609,0,2,1,13,41,299,1,0,65
8,36,3895,0,4,1,11,82,2391,0,0,369
6,20,1852,0,1,3,8,31,1519,0,0,156
13,76,6766,0,12,1,30,188,2537,14,0,763
7,34,2470,0,4,0,6,102,1727,0,0,116
10,33,2386,0,0,0,23,84,2011,3,0,225
11,78,3347,0,7,1,15,66,4329,4,0,358
13,59,983,0,1,0,19,47,604,0,0,36
10,117,12162,1,10,4,29,174,2923,0,0,924
4,35,453,0,0,0,16,26,391,1,0,93
45,258,9951,0,6,11,101,502,3394,55,0,1643
3,50,1036,0,0,0,9,18,568,0,0,155
6,61,1542,0,5,0,12,28,564,5,0,87
7,35,1591,0,2,0,33,27,799,6,0,350
3,282,5659,0,1,0,9,129,2770,7,0,589
6,31,651,0,0,0,8,72,433,0,0,135
37,452,18631,1,101,5,132,690,5276,16,0,8628
7,75,2548,0,0,2,11,36,933,1,0,244
5,2,316,0,0,0,21,12,594,0,0,25
0,62,2302,0,0,1,3,57,535,0,0,157
5,49,1047,0,2,1,14,89,729,0,0,165
18,150,3485,0,0,3,22,59,1323,0,0,391
11,45,1954,2,0,1,20,47,698,5,0,561
62,408,25071,6,340,15,97,687,6512,30,0,3647
66,451,39016,3,146,13,109,1296,15562,38,0,4245
3,18,191,0,0,0,32,26,307,2,0,43
8,49,612,0,0,0,9,36,271,0,0,85
2,14,291,0,0,0,14,68,314,0,0,81
9,97,4904,1,3,3,21,98,2714,11,0,857
7,114,3218,0,24,7,14,60,1116,6,0,646
16,161,11404,2,1,0,41,166,2682,13,0,1785
23,186,6240,0,0,3,42,193,4567,8,0,554
3,18,5306,0,0,36,4,0,5523,0,0,5661
0,14,5921,0,2,19,6,0,2983,0,0,2781
0,31,6105,0,11,25,7,0,4784,1,0,3126
0,6,1565,0,2,5,0,0,1700,0,0,467
0,26,3474,0,5,28,5,0,3957,2,0,1923
6,71,17147,0,27,81,15,1,13514,0,0,12203
1,6,2339,0,0,15,1,0,2440,0,0,1245
17,54,26633,0,36,107,35,5,21572,0,0,15134
1,23,5401,0,0,4,0,0,3760,0,0,2577
1,1,997,0,0,2,0,0,1305,0,0,330
0,1,1006,0,0,0,0,0,1183,0,0,328
2,5,1533,0,0,3,0,0,1528,0,0,343
9,31,17371,0,6,54,7,0,14689,0,0,8844
0,9,1553,0,1,10,2,0,1860,0,0,795
3,121,17632,0,45,157,1,3,11570,0,0,16071
3,20,7731,0,4,32,18,0,8151,12,0,5612
0,20,3419,0,0,4,2,0,3438,0,0,1029
2,51,16276,0,37,41,25,3,12312,9,0,3079
0,1,540,0,0,3,1,0,552,0,0,66
1,15,1522,0,6,5,1,1,1557,0,0,552
0,59,4495,0,8,17,0,0,4620,0,0,1966
3,103,7219,0,15,10,23,0,5347,5,0,11209
4,228,35376,0,101,259,4,4,19611,3,0,19213
2,45,7089,0,5,9,8,0,6278,10,0,3934
2,20,4803,0,9,8,2,0,2958,3,0,867
4,6,1298,0,0,0,0,0,1703,0,0,504
0,15,1559,0,0,0,0,0,2495,0,0,760
0,7,1031,0,0,1,0,0,1072,0,0,232
3,3,4568,0,0,9,9,0,5490,0,0,2106
3,64,19954,0,7,31,3,1,7026,0,0,5244
0,0,210,0,0,0,0,0,384,0,0,41
0,1,936,0,0,3,2,0,1260,0,0,213
3,6,6780,1,0,10,3,0,6370,0,0,549
0,2,646,0,0,0,0,0,619,0,0,238
0,15,11533,0,7,11,1,1,10634,0,0,2133
3,16,4930,0,17,18,8,0,3774,0,0,1708
3,34,7295,0,2,17,4,1,5494,0,0,4293
0,1,927,0,1,3,1,0,1260,0,0,177
4986,8348,723206,287,3024,1367,8052,221,206678,1083,0,183712
0,19,1181,0,0,1,2,0,1532,0,0,253
1,5,1097,0,0,4,0,0,1375,0,0,162
0,6,931,0,0,1,0,1,1702,0,0,133
0,59,5505,0,0,10,0,0,5786,0,0,3162
10,24,10855,0,7,32,9,1,4830,0,0,4506
1,14,5917,0,0,5,6,0,6599,0,0,1152
5,29,10259,0,0,30,5,0,9259,4,0,1559
4,9,4805,0,0,9,3,0,4500,0,0,3655
3,16,8032,0,3,14,4,0,7501,0,0,2333
0,2,652,0,0,1,0,0,1087,0,0,173
7,45,10105,0,6,120,25,1,8219,0,0,6633
5,17,5412,0,5,168,5,0,2874,0,0,5145
0,9,1727,0,0,1,1,0,1442,0,0,372
8,136,37277,0,86,188,25,4,24319,7,0,11267
0,6,2142,0,0,1,0,0,1703,0,0,938
3,27,4628,0,4,6,7,3,3844,1,0,1310
0,0,189,0,0,0,0,0,516,0,0,28
0,0,1063,0,0,6,0,0,1138,0,0,414
2,21,4131,0,0,15,0,0,3817,0,0,1601
5,21,4424,0,6,21,1,1,3880,0,0,1209
0,4,1701,0,0,0,0,0,2104,0,0,636
0,0,692,0,1,8,0,0,1115,0,0,65
2,1,1046,0,1,2,3,0,1281,0,0,155
4,112,29281,0,43,140,5,0,15986,0,0,28634
2,11,3193,1,1,8,0,0,3408,0,0,403
0,30,2572,0,2,8,2,0,3071,0,0,350
5,30,9501,0,6,82,10,0,6958,1,0,7388
9,1779,96761,0,395,121,36,22,33019,1,0,35681
0,16,2251,0,2,3,1,0,2941,0,0,1351
2,10,2340,0,0,1,1,0,2322,0,0,320
20,197,41507,0,22,183,41,2,17107,10,0,25088
3,3,867,0,0,2,0,0,1298,0,0,174
0,3,1613,0,0,2,1,0,1681,0,0,185
1,71,21806,0,24,156,1,0,16608,0,0,24945
2,7,5167,0,0,10,1,0,4655,0,0,347
1,2,1000,0,5,0,2,0,962,0,0,309
1,5,445,0,0,3,1,0,643,0,0,70
3,36,8869,0,2,13,11,0,8686,0,0,2594
9,26,10522,0,5,10,2,1,8483,0,0,2850
3,8,2808,0,11,133,1,0,2655,0,0,1770
3,11,817,0,0,0,0,0,1072,0,0,362
0,1,740,0,0,1,1,0,923,0,0,147
2,33,8106,0,19,87,15,1,5441,5,0,6227
19,74,17925,0,31,60,34,5,10127,2,0,14664
1,20,2526,0,0,3,1,0,2914,0,0,1294
6,61,11086,0,13,33,5,0,9214,0,0,4785
2,6,3860,0,0,27,2,0,4286,0,0,846
2,17,3250,0,7,41,1,2,3168,0,0,2219
4,23,5046,0,11,7,2,0,4563,0,0,2108
0,1,411,0,0,1,0,0,265,0,0,172
0,9,2115,0,0,3,1,0,2048,0,0,698
1,26,7285,0,18,3,1,0,7702,0,0,2639
1,10,2510,0,0,6,2,0,2973,0,0,816
27,196,58590,0,81,236,83,7,40416,7,0,27044
2,44,9694,0,6,31,3,0,7316,0,0,4606
0,14,2380,0,0,6,3,0,1784,0,0,822
1,16,3716,0,6,9,3,0,3656,1,0,3177
52,525,141036,1,172,227,86,4,38305,35,0,59966
86,1456,194380,0,682,276,192,36,70969,7,0,64704
1,1,1451,0,4,50,1,0,2215,0,0,251
6,67,5277,0,3,25,6,0,7076,0,0,1503
111,1072,145026,0,585,110,125,35,46690,4,0,62201
0,5,1705,0,0,1,1,0,1685,0,0,548
1,7,1478,1,1,11,1,0,1462,0,0,312
0,3,1159,0,0,3,0,0,1443,0,0,343
2,13,5954,0,1,26,3,0,6435,0,0,2620
0,1,986,0,0,7,0,0,989,0,0,248
0,9,1541,0,2,4,5,0,1170,0,0,284
2,48,6893,0,5,60,11,0,4993,0,0,5237
1,4,3603,1,4,18,0,0,3847,0,0,1347
1,27,4539,0,0,4,1,0,4012,0,0,1162
2,5,3075,0,1,22,3,0,2739,0,0,475
0,4,1927,0,7,1,5,0,2182,0,0,376
1,11,3140,0,3,44,8,0,3640,0,0,823
1,16,4626,0,1,13,2,0,3709,0,0,2516
1,4,1003,0,0,1,2,0,1231,0,0,304
0,6,4193,0,1,5,3,1,3729,0,0,1139
1,2,1458,0,0,1,3,0,1605,0,0,159
3,26,7709,0,4,6,2,0,6565,1,0,4830
1,25,6970,0,26,41,0,0,5689,0,0,3594
205,3356,642049,0,1415,872,507,55,174320,23,0,129682
2,25,7962,0,6,116,5,0,5197,0,0,6406
0,3,834,0,1,15,0,0,1270,0,0,284
0,10,3539,0,7,12,2,0,3892,0,0,2348
8,94,19797,0,23,34,8,0,16142,0,0,27320
2,7,7305,1,0,7,13,0,7385,1,0,2340
0,814,11095,0,0,0,0,0,7424,0,0,496
8,161,45092,0,23,0,0,0,9847,0,0,12150
0,455,10179,0,51,0,0,0,5479,0,0,552
0,84,3363,0,0,0,0,17,1909,0,0,189
0,2083,31933,0,8,0,0,1,8952,0,0,3514
0,227,2987,0,0,0,0,0,841,0,0,543
0,420,3090,0,6,0,0,0,1475,0,0,453
0,49,2649,0,0,0,0,75,2228,0,0,703
0,165,15062,0,256,0,0,3,3535,0,0,2508
0,78,12617,0,76,0,0,0,4914,0,0,869
0,124,17892,0,0,0,0,0,4795,0,0,6664
0,82,11149,0,4,0,0,0,2550,0,0,1173
0,2176,306659,0,508,0,0,11,40414,0,28,46224
18,2431,30852,0,132,0,0,4,13270,0,0,1866
0,101,5112,0,36,0,0,0,2598,0,0,953
0,77,8817,0,0,0,0,0,3047,0,0,905
0,23,2851,0,39,0,0,0,685,0,0,517
0,146,17438,0,0,0,0,0,4226,0,0,2223
0,414,10327,0,0,0,0,0,4732,0,0,2947
7,1440,174781,0,543,0,0,0,31209,0,0,30573
0,270,4790,0,0,0,0,33,4334,0,0,392
0,12,4809,0,96,0,0,6,4324,0,0,951
0,89,12140,0,681,0,0,0,3075,0,0,3765
21,1026,70708,0,850,0,0,0,9014,0,0,16120
21,1774,159251,0,5804,0,0,0,35145,0,0,44729
0,201,5634,0,0,0,0,0,2283,0,0,392
0,57,3623,0,0,0,0,0,570,0,0,630
0,112,10583,0,0,0,0,0,3259,0,0,3169
0,93,65662,0,418,0,0,0,11790,7,0,25138
0,90,10653,0,0,0,0,0,2192,0,0,3161
3,934,184181,0,1739,0,0,13,39075,7,0,95614
0,326,3535,0,3,0,0,12,1702,0,0,474
0,8742,950255,0,7642,0,0,7,195043,0,0,189313
0,34,1150,0,8,0,0,0,337,0,0,140
0,384,33747,0,136,0,0,0,5449,0,0,8879
0,196,9370,0,31,0,0,0,3543,0,0,1272
85,1947,178363,0,529,0,0,1,29309,0,3,23558
0,23,2574,0,0,0,0,0,946,0,0,647
5,1084,223857,0,1356,0,0,1,44243,0,0,55893
0,663,8351,0,0,0,0,0,4132,0,0,1180
0,32,574,0,0,0,0,9,370,0,0,105
21,2015,30078,0,135,0,0,3,13442,0,0,2306
0,489,6483,0,0,0,0,0,2601,0,0,1272
0,220,8207,0,7,0,0,0,1603,0,0,2679
5,754,29907,0,165,0,0,10,10182,0,0,1912
0,104,7521,0,39,0,0,0,1580,0,0,2412
5,927,11251,0,52,0,0,0,6098,0,0,733
24,840,15264,0,0,0,0,0,5908,0,0,1019
0,102,1909,0,0,0,0,0,1012,0,0,210
0,55,4013,0,42,0,0,0,1693,0,0,634
5,2274,55730,0,74,0,0,1,16852,0,1,7494
0,420,4286,0,0,0,0,0,1611,0,0,894
0,169,18903,0,564,0,0,0,3629,0,0,7081
146,3734,145123,0,0,0,0,1,23969,0,0,16813
0,36,4276,0,1,0,0,0,2384,0,0,684
0,389,4604,0,0,0,0,0,2076,0,0,307
414,4719,575420,0,6096,0,0,19,79807,151,29,87384
0,8343,745044,0,6807,0,0,75,134485,7,0,179340
0,21,12590,0,18,0,0,0,3145,0,0,5918
0,575,120766,0,2539,0,0,1,20001,0,0,30611
0,7,3714,0,0,0,0,0,1400,0,0,434
0,1104,19686,0,0,0,0,1,4878,0,0,3448
0,375,3931,0,0,0,0,0,2176,0,0,450
0,531,7447,0,0,0,0,1,2556,0,0,333
0,96,18917,0,12,0,0,0,9219,0,0,1867
0,12,888,0,0,0,0,14,433,0,0,181
0,611,14883,0,29,0,0,0,4994,0,0,3084
0,170,6368,0,303,0,0,0,2609,0,0,833
0,15,2167,0,0,0,0,0,474,0,0,550
2,645,105141,0,754,0,0,5,21159,0,0,30978
0,195,5364,0,1,0,0,0,2544,0,0,342
0,53,2771,0,0,0,0,0,540,0,0,522
8,150,6197,0,0,0,0,0,1304,0,0,1228
2,1448,16242,0,22,0,0,0,7456,0,0,808
0,76,10002,0,1,0,0,0,3371,0,0,1580
0,828,31677,0,6,0,0,1,7010,0,0,9025
0,34,1126,0,0,0,0,0,387,0,0,145
0,54,1086,0,0,0,0,7,520,0,0,334
0,86,4113,0,0,0,0,0,1611,0,0,317
0,91,3253,0,0,0,0,6,1998,0,0,442
0,1183,247137,0,518,0,0,1,45817,0,0,48731
8,868,12553,0,27,0,0,149,6241,0,0,6738
0,54,4625,0,13,0,0,0,378,0,0,1208
0,154,9044,0,59,0,0,0,2832,0,0,1889
0,853,12045,0,8,0,0,0,7772,0,0,10018
0,220,5605,0,0,0,0,13,3529,0,0,597
0,1059,17555,0,84,0,0,0,9948,0,0,2461
2,1685,18319,0,47,0,0,0,7564,0,0,4775
0,19,2821,0,4,0,0,0,1034,0,0,591
0,1031,16274,0,133,0,0,0,6950,0,2,2034
0,58,27084,0,200,0,0,0,7298,0,0,8167
0,208,27745,0,431,0,0,0,6759,0,0,5979
0,40,9414,0,0,0,0,0,2909,0,0,2083
2,86,3738,0,45,0,0,0,1538,0,0,399
0,204,33422,0,218,0,0,0,8321,0,0,7504
0,29,9217,0,42,0,0,0,3596,0,0,2458
0,181,3312,0,0,0,0,73,1831,0,0,175
0,60,1305,0,0,0,0,0,347,0,0,299
0,2349,129840,0,1896,0,0,6,28702,0,0,30880
0,72,13570,0,2,0,0,1,3600,0,0,4559
0,1386,20223,0,34,0,0,0,6466,0,0,4628
0,158,4622,0,0,0,0,0,2219,0,0,202
0,454,14477,0,64,0,0,0,2459,0,0,2285
500,4468,498116,0,4541,0,0,12,86707,412,1,81801
0,19,2216,0,0,0,0,53,1971,0,0,414
4967,15678,448596,0,3896,0,0,104,93133,309,78,64866
0,112,3096,0,0,0,0,0,1949,0,0,486
0,321,57900,0,819,0,0,1,9106,0,0,20063
0,2279,207121,0,890,0,0,0,35521,0,0,53187
8,2033,20788,0,25,0,0,101,6178,26,0,5722
0,655,4871,0,0,0,0,0,1875,0,0,309
0,335,9450,0,3,0,0,0,3626,0,0,1624
0,328,6914,0,0,0,0,10,7845,0,0,781
0,1499,12881,0,0,0,0,0,3857,0,0,622
0,868,13157,0,0,0,0,0,5311,0,0,1672
0,9,918,0,0,0,0,16,535,0,0,58
0,60,1452,0,0,0,0,14,1081,0,0,90
97,1684,47308,0,47,0,0,0,11263,13,0,5665
0,241,1149,0,0,0,0,0,838,0,0,151
0,683,75939,0,1181,0,0,0,18566,0,0,21053
285,3590,331117,0,2285,0,0,1,49442,183,0,52364
0,730,114355,0,503,0,0,0,24466,0,0,49904
0,22,6408,0,0,0,0,40,3301,0,0,297
0,569,6422,0,0,0,0,0,2453,0,0,589
0,23,3627,0,0,0,0,0,995,0,0,1203
0,11,1619,0,0,1,0,15,2231,1,0,761
0,5,1255,0,0,0,0,0,1967,0,0,108
12,99,21451,0,2,34,0,18,12677,21,3,5436
0,7,1434,0,1,8,1,0,2123,0,0,566
0,19,1295,0,0,1,2,1,1167,0,0,188
5,1648,18565,2,6,7,4,220,14253,2,0,11225
3,32,12144,0,0,36,0,3,9834,4,11,3786
0,10,1137,0,1,0,0,3,1873,0,0,368
1,56,5630,0,0,3,3,17,6593,0,0,4875
2,28,3743,0,0,1,0,13,3405,0,0,1607
0,20,3242,0,2,26,1,3,2567,0,0,1140
0,67,5581,0,0,3,0,1,6969,0,0,646
0,20,1104,0,0,0,0,4,1341,0,0,1344
12,64,11881,1,0,6,6,1,12936,0,0,622
2,22,2648,0,0,1,0,3,3243,0,0,1154
1,18,3910,0,0,3,1,2,3888,0,0,2205
0,12,1842,0,0,12,0,4,2265,0,0,608
1,3,2390,0,0,1,0,3,2133,0,0,1308
0,42,3671,0,0,1,0,7,3597,0,0,5552
0,52,2805,0,1,5,1,23,3021,0,0,1487
0,2,640,0,0,3,0,1,719,0,0,41
1,13,2526,0,3,3,3,12,2332,0,0,647
0,6,2067,0,1,18,0,2,2191,0,0,1773
3,53,1880,1,0,2,2,21,1797,0,0,164
0,71,5020,0,0,25,0,10,3515,0,0,1107
0,0,509,0,0,0,1,0,795,0,0,239
0,0,570,0,0,0,0,0,879,0,0,533
0,3,2689,0,1,4,0,1,1939,0,0,824
0,8,742,0,0,1,0,5,1227,0,0,88
0,14,1655,0,1,43,0,1,1679,0,0,518
0,39,3983,0,0,21,0,1,3603,0,0,489
0,8,1474,0,1,4,0,7,1264,0,0,423
0,48,2059,0,0,3,0,7,2617,0,0,919
5,233,18806,1,9,20,7,171,15829,7,2,6556
1,95,1760,0,0,0,3,46,2268,0,0,329
0,30,2037,0,0,6,1,5,1357,1,0,2510
0,11,1627,0,0,0,1,0,1960,0,0,972
4,293,12804,1,0,4,5,106,11258,0,1,4011
0,11,1146,0,0,3,0,1,1117,0,0,269
0,8,1753,0,0,2,0,6,1985,0,0,1179
0,15,2117,1,0,4,0,1,1932,0,0,693
0,9,1461,0,0,1,1,0,1596,1,0,1302
2,76,12290,0,2,192,0,6,9160,19,0,9024
1,13,3232,0,2,1,6,1,2388,0,0,2185
0,110,9155,1,1,8,2,26,5691,0,0,6165
0,63,5294,0,0,52,2,8,5555,0,0,1210
0,15,3533,0,0,0,0,1,3391,0,0,1366
0,5,497,0,0,0,0,1,536,0,0,167
1,6,1310,0,0,0,0,3,2320,0,0,370
26,511,17423,0,4,82,16,246,18692,0,0,3146
1,59,9191,0,1,28,2,19,7845,0,0,1339
173,1639,39043,2,3,72,474,129,13574,9,0,21842
1883,9339,261773,42,271,251,3311,3772,92400,607,4,63853
1,6,1189,0,0,2,0,0,1513,0,0,486
1,366,4711,0,0,6,0,29,4380,0,0,954
0,30,1014,0,0,0,0,2,1127,0,0,97
0,24,7806,0,1,7,3,2,4693,2,3,3006
12,82,5653,0,1,10,1,6,5045,0,0,3523
0,4,884,0,0,0,0,0,1239,0,0,675
0,5,2150,0,0,11,1,2,2191,0,0,840
14,76,18571,0,1,94,2,3,14030,0,3,4271
1,7,2469,0,0,5,1,0,2659,0,0,1225
0,9,2332,0,1,8,0,0,2256,0,0,1217
0,13,2216,0,0,5,1,1,3169,0,0,549
2,187,5161,0,0,23,2,29,2895,0,0,1199
4,615,13132,1,1,11,3,328,7525,0,0,5991
0,4,2379,0,1,8,1,0,2981,0,0,794
0,9,4404,0,0,3,2,0,5939,1,0,925
33,533,40638,0,62,114,4,135,26034,0,0,7996
1,30,3779,0,0,6,0,2,2614,0,0,4179
4,104,9470,0,11,10,0,26,8780,0,1,7613
0,15,4140,0,1,8,0,7,4027,0,0,916
0,62,3735,0,0,11,0,21,3000,0,0,3168
0,9,2753,0,0,6,0,0,2575,0,0,1950
2,89,9016,0,1,123,0,61,8350,132,0,7953
11,378,27472,2,3,28,10,51,17443,0,0,21463
0,11,3862,0,0,29,0,6,2834,0,0,1205
1,11,4397,0,0,3,0,1,2957,1,1,1513
0,19,2925,0,0,2,1,4,4671,0,0,699
13,7,3897,0,0,10,0,3,2940,0,0,904
0,15,8578,0,0,17,0,0,4611,0,1,2954
2,307,7871,0,0,11,1,87,9877,4,0,3849
2,7,4278,0,0,11,0,1,6363,0,0,343
1,13,1947,0,0,5,0,1,2967,2,0,1781
0,139,6859,0,0,218,1,11,5795,0,0,4409
0,15,2723,0,0,120,0,1,2798,0,0,1366
8,100,3185,0,0,3,1,12,2773,0,0,2040
7,44,7867,0,0,6,1,12,4342,0,0,5409
0,43,2847,0,0,0,4,6,3133,0,0,212
0,6,2795,0,0,0,0,4,2285,0,0,797
0,3,2012,0,0,8,0,0,2652,0,0,739
0,20,2842,0,0,0,0,9,2203,0,0,1102
0,37,3215,0,1,1,0,10,4021,0,0,456
1,4,2787,2,0,1,0,0,2413,0,0,1677
0,8,2047,0,0,7,0,0,1916,0,0,1242
0,5,935,0,0,2,0,0,1083,0,0,222
3,32,1563,0,0,1,0,2,2655,0,0,2015
0,57,4254,0,0,1,0,23,3860,2,0,2031
0,4,2417,0,0,1,0,1,2494,0,0,395
3,20,2603,0,0,4,0,5,1954,3,0,1072
19,40,8164,0,0,1,0,8,4983,0,0,2032
32,3982,64670,2,48,116,8,456,37920,1,1,22465
0,8,6602,0,0,7,0,1,5136,0,0,3376
0,15,2724,0,0,1,0,1,2870,0,0,1325
1,4,2998,0,0,17,0,2,2698,0,0,670
0,42,4653,0,5,59,0,5,4227,0,0,3829
0,161,16954,0,6,18,0,87,10202,11,0,6941
8,1122,51939,1,230,420,4,205,27661,2,0,38604
0,4,1916,0,0,7,1,0,1134,0,0,564
0,122,8735,0,2,19,2,63,8441,0,0,1397
0,114,7779,0,0,1,5,6,5329,0,0,3465
59,1664,82967,0,4,189,3,308,59087,43,17,24942
1,31,3929,0,1,11,0,7,4724,0,0,1461
0,92,760,0,15,4,2,5,161,0,0,402
0,22,7965,0,13,9,0,3,1570,0,0,1827
0,47,2500,0,10,21,0,3,1582,0,0,399
0,88,8544,0,67,84,0,12,3092,0,0,5050
0,93,580,0,2,8,1,2,170,0,0,213
1,5399,63937,0,2031,326,51,720,12328,0,0,23346
127,4562,417378,8,936,542,799,489,31760,44,0,55321
1,362,39323,0,17,52,6,40,3161,0,0,9037
0,108,4608,0,6,6,0,11,722,0,0,463
0,47,2140,0,14,14,0,2,1106,0,0,622
5,1369,132421,1,229,153,1036,216,12593,3,0,25630
0,174,21029,0,135,70,1,39,2593,1,0,6241
0,28,5023,0,2,26,0,2,1541,0,0,1203
0,75,944,0,4,2,6,0,262,0,0,280
0,84,1557,0,0,7,4,2,559,2,0,507
0,65,1088,0,30,7,0,19,927,0,0,267
0,193,8314,0,36,38,3,18,1551,2,0,3002
54,563,41327,0,66,50,145,59,3489,9,0,9864
0,53,1705,0,9,15,0,14,1084,0,0,304
0,273,7267,0,40,18,0,22,1609,0,0,2198
0,46,571,0,1,0,0,1,85,0,0,184
0,38,1060,0,32,13,0,1,874,0,0,181
0,9,528,0,16,2,0,3,514,0,0,94
1,49,5716,0,70,52,1,9,1452,0,0,3038
